id,serviceId,name,description,extent,extentType,uri,serviceAtLocationId
21dd6b8a-fc31-4d2b-bffb-de5be745f54b,30e02b08-16f7-4639-bf2d-6bbca094c46b,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, and Williamson Counties","Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, and Williamson Counties","[{""scope"":""county"",""county"":""Bastrop"",""state"":""TX""},{""scope"":""county"",""county"":""Blanco"",""state"":""TX""},{""scope"":""county"",""county"":""Burnet"",""state"":""TX""},{""scope"":""county"",""county"":""Caldwell"",""state"":""TX""},{""scope"":""county"",""county"":""Fayette"",""state"":""TX""},{""scope"":""county"",""county"":""Hays"",""state"":""TX""},{""scope"":""county"",""county"":""Lee"",""state"":""TX""},{""scope"":""county"",""county"":""Llano"",""state"":""TX""},{""scope"":""county"",""county"":""Travis"",""state"":""TX""},{""scope"":""county"",""county"":""Williamson"",""state"":""TX""}]",TEXT,,620e4a46-0cad-4cec-a049-fed3318a455b
434c1f3e-5ee2-44a0-a5ca-846b00e9b041,f230b1be-ad19-4478-865c-e2759c593845,Statewide,Statewide,"[{""scope"":""state"",""state"":""TX""}]",TEXT,,117cd0d5-bd36-4e38-8fa2-39c9bf5b7a36
8d4da5e9-c533-43bc-8596-a25a626cff2f,f5eab7fb-4fbc-4ef6-9a6a-a7a96f0bb23e,Statewide,Statewide,"[{""scope"":""state"",""state"":""TX""}]",TEXT,,bb4df1f0-01c8-47b3-a52b-100c17a91b17
8b8717dd-e0fe-4122-917a-d58e51e85b5f,e1a600d9-0633-4322-b69c-2aa4abde3f60,Statewide,Statewide,"[{""scope"":""state"",""state"":""TX""}]",TEXT,,50e5160d-36d4-401f-a114-3b78e3b0d79e
1d4f08b1-24ec-413e-9916-63a8515f6260,f26a65d7-0ffc-480e-b099-10ec71c5d814,Statewide,Statewide,"[{""scope"":""state"",""state"":""TX""}]",TEXT,,044f47c4-2277-4443-bbd9-82762ed21686
8268fb8d-35f2-44b0-bd23-8145adb85bc8,adb283a5-7aa7-45d2-ab68-c27c5990e959,Statewide,Statewide,"[{""scope"":""state"",""state"":""TX""}]",TEXT,,15e21006-7479-4603-95e7-123101cf905a
f5816f62-a257-4eaa-bb53-06ad77c34549,dd013850-2a8f-4d86-916c-48fcca32429f,Statewide,Statewide,"[{""scope"":""state"",""state"":""TX""}]",TEXT,,4ace4139-2b2e-4caf-a1e1-045af1460f54
e53e3966-41d4-4c57-be6c-59701691f42c,a0282bc2-83b9-460b-a36f-0546710265ca,Statewide,Statewide,"[{""scope"":""state"",""state"":""TX""}]",TEXT,,10181a70-5efb-4198-a987-a0c29325eed8
3fd8cc32-b45f-46dc-bda6-6c526858b2dc,5f40bbfc-0a98-4c77-bedd-8129ecff95cc,Statewide,Statewide,"[{""scope"":""state"",""state"":""TX""}]",TEXT,,1ed41069-4747-4eb2-b0f7-faa30be08753
f3131a65-bf15-4a22-8812-c2b5bd10162e,3b35d4db-d1bb-47a2-a722-7ba4bb5eec27,Statewide,Statewide,"[{""scope"":""state"",""state"":""TX""}]",TEXT,,137a6e14-7465-44d9-b007-7864df8debf2
